LC1_peak_magnitude_N,LC5_peak_magnitude_N
78.80957366099999,75.90739366000001
69.7161613155,112.8353149
72.74729876399999,166.17564557999998
68.70578216599999,125.14462198
54.56047407299999,28.721716519999998
192.98241755450002,375.43386594
160.65028477049998,283.11406284
119.224739641,209.25822036
118.21436049149997,192.84581092000002
90.934123455,203.10356682000003
128.3181519865,135.40237788
185.90976350799997,475.95987375999994
161.66066392,377.4854171199999
121.24549793999999,219.51597625999997
118.21436049149997,176.43340148
118.21436049149997,160.02099203999998
82.85109025899999,147.71168495999999
201.06545075049996,129.24772434
153.577630724,172.33029912
123.266256239,100.52600782
120.23511879049998,121.04151962
99.017156651,112.8353149
57.5916115215,100.52600782
156.6087681725,402.10403128
128.3181519865,233.87683452
125.287014538,180.53650383999997
110.1313272955,160.02099203999998
112.1520855945,160.02099203999998
113.16246474399998,139.50548024
243.5013750295,469.80522021999997
129.328531136,326.19663762
142.46346007949998,299.52647227999995
129.32853113599998,268.75320458
111.14170644499998,178.48495265999998
195.00317585349998,445.18660606
167.722938817,281.06251166
131.349289435,252.34079514
128.3181519865,260.54699985999997
114.1728438935,258.49544868
101.03791495,311.83577936
142.46346007949998,192.84581092000002
117.20398134199999,135.40237788
140.4427017805,188.74270855999995
127.30777283699999,121.04151962
128.3181519865,125.14462198
201.06545075049996,422.61954308
106.08981069749998,301.57802346000005
80.83033196,262.59855104
78.80957366099999,207.20666918
82.85109025899999,223.61907862
84.871848558,168.22719675999997
